id,name,department,rate,required_time,category,sample_req,individual,manual,merge,dependency,lab_not_required,indoor
gm_img_1443,Ct 3d Imaging,CT Scan,7200,1,radiology,False,False,False,False,False,True,False
gm_img_1445,Ct Abdomen,CT Scan,1350,1,radiology,False,False,False,False,False,True,False
gm_img_3342,Ct Abdomen Angiogram,CT Scan,13500,1,radiology,False,False,False,False,False,True,False
gm_img_1446,Ct Angio Calcium Score,CT Scan,2250,1,radiology,False,False,False,False,False,True,False
gm_img_1447,Ct Angio Lower Limb,CT Scan,13500,1,radiology,False,False,False,False,False,True,False
gm_img_3328,CT Angio of Aortogram,CT Scan,12000,1,radiology,False,False,False,False,False,True,False
gm_img_3320,CT Angio of Brain,CT Scan,10000,1,radiology,False,False,False,False,False,True,False
gm_img_3321,CT Angio of Brain & Neck Vessel,CT Scan,14000,1,radiology,False,False,False,False,False,True,False
gm_img_3323,CT Angio of Cardiac,CT Scan,12000,1,radiology,False,False,False,False,False,True,False
gm_img_3327,CT Angio of Liver/Three Phase Liver,CT Scan,12000,1,radiology,False,False,False,False,False,True,False
gm_img_3325,CT Angio of Neck Vessel,CT Scan,10000,1,radiology,False,False,False,False,False,True,False
gm_img_3329,CT Angio of Peripheral Upper/Lower Limbs,CT Scan,12000,1,radiology,False,False,False,False,False,True,False
gm_img_3330,CT Angio of Pulmonary Vessel,CT Scan,14000,1,radiology,False,False,False,False,False,True,False
gm_img_3324,CT Angio of Renal,CT Scan,12000,1,radiology,False,False,False,False,False,True,False
gm_img_3326,CT Angio of Urogram/ IVU,CT Scan,12000,1,radiology,False,False,False,False,False,True,False
gm_img_1448,Ct Angio Upper Limb,CT Scan,13500,1,radiology,False,False,False,False,False,True,False
gm_img_1449,Ct Angiogram Syringe,CT Scan,13500,1,radiology,False,False,False,False,False,True,False
gm_img_1450,Ct Anglo Ct,CT Scan,2250,1,radiology,False,False,False,False,False,True,False
gm_img_1451,Ct Base Of Skull,CT Scan,5400,1,radiology,False,False,False,False,False,True,False
gm_img_1452,Ct Biopsy,CT Scan,9000,1,radiology,False,False,False,False,False,True,False
gm_img_1453,Ct Both Hip Jt,CT Scan,4500,1,radiology,False,False,False,False,False,True,False
gm_img_1456,Ct Brain,CT Scan,3600,1,radiology,False,False,False,False,False,True,False
gm_img_1455,Ct Brain Angiogram,CT Scan,10800,1,radiology,False,False,False,False,False,True,False
gm_img_1457,Ct C.Spine,CT Scan,5400,1,radiology,False,False,False,False,False,True,False
gm_img_1458,Ct Carotid Angiogram,CT Scan,13500,1,radiology,False,False,False,False,False,True,False
gm_img_1459,Ct Chest,CT Scan,5400,1,radiology,False,False,False,False,False,True,False
gm_img_3331,CT Contrast Angio,CT Scan,14000,1,radiology,False,False,False,False,False,True,False
gm_img_1460,Ct Coronary Angiogram,CT Scan,13500,1,radiology,False,False,False,False,False,True,False
gm_img_1461,Ct Dors.Spine,CT Scan,5400,1,radiology,False,False,False,False,False,True,False
gm_img_1462,Ct Dorsal Spine,CT Scan,5400,1,radiology,False,False,False,False,False,True,False
gm_img_1463,Ct Ear R/L,CT Scan,5400,1,radiology,False,False,False,False,False,True,False
gm_img_1464,Ct Elbow Joint Rt./Lt.,CT Scan,5400,1,radiology,False,False,False,False,False,True,False
