id,name,department,sample_type,tube_color_id,rate,required_time,category,sample_req,individual,manual,merge,dependency,lab_not_required,indoor
gm_entry_3772,BILIRUBIN DIRECT/INDIRECT,Biochemistry,Whole Blood,Red (Plain),600,1,pathology,True,False,False,False,False,False,False
gm_entry_5150,2Hrs ABF(Strip),Biochemistry,Whole Blood,Red (Plain),100,0,pathology,False,False,False,False,False,False,False
gm_entry_3829,75 gm Glucose,Biochemistry,,,300,1,pathology,False,False,False,False,False,False,False
gm_entry_4900,ALP Phosphatase,Biochemistry,,Red (Plain),500,1,pathology,False,False,False,False,False,False,False
gm_entry_5004,Ammonia,Biochemistry,Whole Blood,Red (Plain),1400,0,pathology,False,False,False,False,False,True,False
gm_entry_5186,Anti SS-A Antibody,Biochemistry,,,4000,1,pathology,False,False,False,False,False,False,False
gm_entry_5187,Anti SS-B Antibody,Biochemistry,,,4000,1,pathology,False,False,False,False,False,False,False
gm_entry_3799,Anti-Cardiolipin AB,Biochemistry,Whole Blood,Red (Plain),4000,1,pathology,True,False,False,False,False,False,False
gm_entry_3801,Ascitic/CSF/Pleural Fluid for Biochemistry,Biochemistry,Whole Blood,Red (Plain),2000,1,pathology,True,False,False,False,False,False,False
gm_entry_4944,BILIRUBIN (TOTAL),Biochemistry,,Red (Plain),600,1,pathology,True,False,False,False,False,False,False
gm_entry_3725,Blood Sugar 2hrs ABF,Biochemistry,Whole Blood,Red (Plain),180,1,pathology,True,False,False,False,False,False,False
gm_entry_5140,Blood Sugar 2hrs ABF & 2hrs AL (After Lunch),Biochemistry,,Red (Plain),300,1,pathology,False,False,False,False,False,False,False
gm_entry_5170,Blood Sugar 2hrs After Lunch,Biochemistry,Whole Blood,Red (Plain),180,1,pathology,True,False,False,False,False,False,False
gm_entry_3751,Blood Sugar Fasting & 2hrs ABF,Biochemistry,Whole Blood,Red (Plain),300,1,pathology,True,False,False,False,False,False,False
gm_entry_3773,BUN,Biochemistry,Whole Blood,Red (Plain),500,1,pathology,True,False,False,False,False,False,False
gm_entry_3814,CCR,Biochemistry,Urine (Random),,1000,1,pathology,True,False,False,False,False,False,False
gm_entry_5178,"CSF for protein, Glucose, TC, DC, ADA",Biochemistry,,Red (Plain),3500,0,pathology,False,False,False,False,False,False,False
gm_entry_1535,Deprecated by IT (Electrolyte).,Biochemistry,Whole Blood,Red (Plain),1200,1,pathology,True,False,False,True,False,False,False
gm_entry_5182,DHT,Biochemistry,Whole Blood,Red (Plain),3500,0,pathology,False,False,False,False,False,False,False
gm_entry_5154,Fasting Blood Sugar and 2 Hours After 75gm Glucose (FBS-2h 75g),Biochemistry,,,300,0,pathology,False,False,False,False,False,True,False
gm_entry_1534,FBS (Fasting Blood Sugar),Biochemistry,Whole Blood,Red (Plain),180,1,pathology,True,False,False,True,False,False,False
gm_entry_5149,FBS(Strip),Biochemistry,Whole Blood,Red (Plain),100,0,pathology,False,False,False,False,False,False,False
gm_entry_4892,Ferritin,Biochemistry,Whole Blood,Red (Plain),1400,1,pathology,True,False,False,True,False,False,False
gm_entry_4903,Folic Acid,Biochemistry,Whole Blood,Red (Plain),1200,1,pathology,True,False,False,True,False,False,False
gm_entry_5202,Gamma GT,Biochemistry,,,500,0,pathology,False,False,False,False,False,False,False
gm_entry_5225,Growth Hormone,Biochemistry,Whole Blood,Red (Plain),1500,0,pathology,False,False,False,False,False,False,False
gm_entry_4857,HBA1C,Biochemistry,Whole Blood,Red (Plain),1200,1,pathology,True,False,False,True,False,False,False
gm_entry_5211,IGG for Herpes Simplex,Biochemistry,Whole Blood,Red (Plain),1400,0,pathology,True,False,False,False,False,False,False
gm_entry_5210,IGM for Herpes Simplex,Biochemistry,Whole Blood,Red (Plain),1400,0,pathology,True,False,False,False,False,False,False
gm_entry_5139,Inorganic Phoshate,Biochemistry,,,640,1,pathology,False,False,False,False,False,False,False
gm_entry_5172,Lactate,Biochemistry,,Red (Plain),1400,0,pathology,False,False,False,False,False,False,False
gm_entry_4917,LFT,Biochemistry,,Red (Plain),1500,1,pathology,False,False,False,False,False,False,False
gm_entry_3789,Lipase,Biochemistry,Whole Blood,Red (Plain),1200,1,pathology,True,False,False,False,False,False,False
gm_entry_4914,Magnesium,Biochemistry,Whole Blood,Red (Plain),1200,1,pathology,False,False,False,False,False,False,False
gm_entry_4863,OGTT,Biochemistry,,Red (Plain),450,1,pathology,False,False,False,False,False,False,False
gm_entry_3738,OGTT 2Hrs,Biochemistry,Whole Blood,Red (Plain),100,0,pathology,False,False,False,False,False,False,False
gm_entry_5014,Potassium,Biochemistry,,Red (Plain),400,1,pathology,False,False,False,False,False,False,False
gm_entry_3819,Protein-Electrophoresis,Biochemistry,,,2000,1,pathology,True,False,False,False,False,False,False
gm_entry_3721,RBS (Random Blood Sugar),Biochemistry,Whole Blood,Red (Plain),180,1,pathology,True,False,False,False,False,False,False
gm_entry_3833,RBS (Strip),Biochemistry,,,100,1,pathology,True,False,False,False,False,False,False
gm_entry_4966,RBS With Corosponding Urine,Biochemistry,Whole Blood,Red (Plain),200,1,pathology,False,False,False,False,False,False,False
gm_entry_3769,S. AMYLASE,Biochemistry,Whole Blood,Red (Plain),1200,1,pathology,True,False,False,False,False,False,False
gm_entry_4897,S. Calcium,Biochemistry,Whole Blood,Red (Plain),500,1,pathology,True,False,False,True,False,False,False
gm_entry_4978,S. eGFR,Biochemistry,Whole Blood,Red (Plain),1280,0,pathology,False,False,False,False,False,False,False
gm_entry_3826,S. Feritin,Biochemistry,,Red (Plain),1400,1,pathology,True,False,False,False,False,False,False
gm_entry_5003,S. Phosphate,Biochemistry,,Red (Plain),1200,1,pathology,False,False,False,False,False,False,False
gm_entry_4898,S. Urea,Biochemistry,Whole Blood,Red (Plain),300,1,pathology,True,False,False,True,False,False,False
gm_entry_3764,S.Cholesterol,Biochemistry,Whole Blood,Red (Plain),350,1,pathology,True,False,False,False,False,False,False
gm_entry_3765,S.Electrolytes,Biochemistry,Whole Blood,Red (Plain),1200,1,pathology,True,False,False,False,False,False,False
gm_entry_3778,S.FREEITIN LEVEL,Biochemistry,Whole Blood,Red (Plain),1000,1,pathology,True,False,False,False,False,False,False
gm_entry_3777,S.GOT,Biochemistry,Whole Blood,Red (Plain),350,1,pathology,True,False,False,False,False,False,False
gm_entry_3781,S.IRON,Biochemistry,Whole Blood,Red (Plain),1200,1,pathology,True,False,False,False,False,False,False
gm_entry_3766,S.Iron Profile,Biochemistry,Whole Blood,Red (Plain),4200,1,pathology,True,False,False,False,False,True,False
gm_entry_3782,S.TIBC,Biochemistry,Whole Blood,Red (Plain),900,1,pathology,True,False,False,False,False,False,False
gm_entry_3767,S.Trygleceride,Biochemistry,Whole Blood,Red (Plain),300,1,pathology,True,False,False,False,False,False,False
gm_entry_3788,SERUM A/G RATIO,Biochemistry,Whole Blood,Red (Plain),800,1,pathology,True,False,False,False,False,False,False
gm_entry_4997,Serum ACE (Angiotensin Converting Enzime),Biochemistry,Whole Blood,Red (Plain),5000,0,pathology,False,False,False,False,False,False,False
gm_entry_3728,Serum Bilirubin(total-direct-indirect),Biochemistry,Whole Blood,Red (Plain),1200,1,pathology,True,False,False,False,False,False,False
gm_entry_3732,Serum: Albumin,Biochemistry,Whole Blood,Red (Plain),500,0,pathology,True,False,False,False,False,False,False
gm_entry_3810,TIBC,Biochemistry,Whole Blood,Red (Plain),900,1,pathology,True,False,False,False,False,False,False
gm_entry_5203,Triglycerides,Biochemistry,Whole Blood,Red (Plain),500,0,pathology,False,False,False,False,False,False,False
gm_entry_1533,Uric Acid,Biochemistry,Whole Blood,Red (Plain),500,1,pathology,True,False,False,True,False,False,False
