id,examinationentry_id/id,sequence,name,uom,reference_value,result_type,bold,is_group_header,others
gm_line_3798,gm_entry_5150,10,2 hrs ABF(Strip),mmol/L,upto 8.8,numeric,False,False,
gm_line_2915,gm_entry_4900,1,ALP PHOSPHATASE,U/L,Upto 240 U/L,numeric,False,False,
gm_line_3847,gm_entry_5004,10,Ammonia,umol/L,9.0 - 30.0 umol/L,numeric,False,False,
gm_line_2911,gm_entry_4944,1,BILIRUBIN (TOTAL),mg/dl,upto 1.0 mg/dl,numeric,False,False,BIL
gm_line_2906,gm_entry_3725,1,2hrs.ABF,mmol/L,upto 8 .8,numeric,False,False,
gm_line_2907,gm_entry_3751,10,Plasma Glucose,,,text,True,True,Sugar
gm_line_3792,gm_entry_3751,1,Fasting Blood Sugar,mmol/L,upto 6.4,numeric,False,False,Sugar
gm_line_3793,gm_entry_3751,2,2hrs ABF,mmol/L,upto 8.8,numeric,False,False,Sugar
gm_line_3855,gm_entry_5154,10,Plasma Glucose,,,text,False,True,Sugar
gm_line_3856,gm_entry_5154,1,Fasting Blood Sugar,mmol/L,upto 6.4,numeric,False,False,Sugar
gm_line_3857,gm_entry_5154,2,2hrs ABF after 75gm Glucose,mmol/L,upto 8.8,numeric,False,False,Sugar
gm_line_2903,gm_entry_1534,10,Plasma Glucose,,,text,True,True,Sugar
gm_line_3791,gm_entry_1534,1,Fasting Blood Sugar,mmol/L,upto 6.4,numeric,False,False,Sugar
gm_line_3797,gm_entry_5149,10,Fasting Blood Sugar(Strip),mmol/L,upto 6.4,numeric,False,False,
gm_line_3049,gm_entry_4892,10,Ferritin,ng/mL,Group: Age Range(year): 20-60(M) 17-60(F) Reference Range: 30-400(M) 13-150(F),numeric,False,False,
gm_line_2908,gm_entry_4857,1,HBA1C,%,4.5 - 6.3,numeric,False,False,
gm_line_3826,gm_entry_4917,1,AST (SGOT),U/L,upto 35 U/L,numeric,False,False,LF
gm_line_3827,gm_entry_4917,2,ALT (SGPT),U/L,upto 45 U/L,numeric,False,False,LF
gm_line_3828,gm_entry_4917,3,ALP Phosphatase,U/L,Upto 240 U/L,numeric,False,False,LF
gm_line_3829,gm_entry_4917,4,Bilirubin (Total),mg/dl,upto 1.0 mg/dl,numeric,False,False,LF
gm_line_2981,gm_entry_3789,10,Lipase,U/l,≤ 60U/l,numeric,False,False,
gm_line_3942,gm_entry_4914,10,Magnesium,mg/dL,1.9-2.5 mg/dL,numeric,False,False,
gm_line_3848,gm_entry_4863,10,Plasma Glucose,,,text,True,True,
gm_line_3849,gm_entry_4863,1,Fasting Blood Sugar,mmol/L,upto 6.4,numeric,False,False,
gm_line_3850,gm_entry_4863,2,2hrs After 75g Glucose,mmol/L,upto 8.8,numeric,False,False,
gm_line_2905,gm_entry_3721,10,Plasma Glucose,,,text,True,True,Sugar
gm_line_3790,gm_entry_3721,1,Random Blood Sugar,mmol/L,Upto 8 .8,numeric,False,False,Sugar
gm_line_3789,gm_entry_3833,10,RBS (Strip),mmol/L,Upto 8.8,numeric,False,False,
gm_line_3997,gm_entry_3769,10,Serum Amylase,U/L,< 100 U/L,numeric,False,False,
gm_line_2916,gm_entry_4897,1,S. CALCIUM,mg/dl,8.1-10.4 mg/dl,numeric,False,False,
gm_line_3843,gm_entry_4978,10,Estimated Glomerular Filtration Rate (eGFR) Serum Creatinine,mg/dl,Male: 0.70-1.30 mg/dl Famale:0.60-1.10 mg/dl Child:0.20-0.70 mg/dl,numeric,False,False,
gm_line_3844,gm_entry_4978,1,eGFR(Use Variable MDRD Equ),ml/min/1.73m2,>90.00 Normal renal function 60-89 Mild decrease renal function 45-59 Mild to moderate decrease 30-44 Moderate to severe decrease 15-29 Severe decrease <15.00 Renal failure,numeric,False,False,
gm_line_3841,gm_entry_3826,10,S. Ferritin,ng/mL,Male:30-400 ng/mL Female:13-150ng/mL,numeric,False,False,
gm_line_2909,gm_entry_4898,1,S. UREA,mg/dl,10-50 mg/dl,numeric,False,False,
gm_line_2917,gm_entry_3764,1,SERUM CHOLESTEROL,,,text,False,False,
gm_line_2974,gm_entry_3765,10,S.Electrolites:,,,text,True,True,SE
gm_line_2975,gm_entry_3765,1,Sodium,mmol/L,135 - 146 mmol/L,numeric,False,False,SE
gm_line_2976,gm_entry_3765,2,Potassium,mmol/L,"Child 3.4-4.7, Adult 3.5-5.1",numeric,False,False,SE
gm_line_2977,gm_entry_3765,3,Chloride,mmol/L,96 - 110 mmol/L,numeric,False,False,SE
gm_line_2978,gm_entry_3765,4,T-CO2 (Venous),mmol/L,22 - 32 mmol/L,numeric,False,False,SE
gm_line_3840,gm_entry_3781,10,S.IRON,ug/dl,Male:59-158ug/dl Female:37-145ug/dl,numeric,False,False,
gm_line_3814,gm_entry_3766,10,IRON PROFILE,,,text,True,True,IRONP
gm_line_3815,gm_entry_3766,1,S. TIBC,ug/dl,274-385 ug/dl,numeric,False,False,IRONP
gm_line_3816,gm_entry_3766,2,S. IRON,ug/dl,Male: 59-158 ug/dl Female: 37-145 ug/dl,numeric,False,False,IRONP
gm_line_3817,gm_entry_3766,3,S. Ferritin,ng/ml,Male: 30-400 ng/ml Female: 13-150 ng/ml,numeric,False,False,IRONP
gm_line_3842,gm_entry_3782,10,S.TIBC,ug/dl,274 - 385 ug/dl,numeric,False,False,
gm_line_2951,gm_entry_3788,10,Albumin Creatinin Ratio:,,,text,True,True,AC
gm_line_2952,gm_entry_3788,1,Urinary Albumin,mg/L,,numeric,False,False,AC
gm_line_2953,gm_entry_3788,2,Urinary Creatinine,mg/g,,numeric,False,False,AC
gm_line_2954,gm_entry_3788,3,Albumin Creatinine Ratio,mg/g,Normal: <=30mg/g Microalbuminuria: >30 to 300 mg/g Macroalbuminirua:>=300 mg/g,numeric,False,False,AC
gm_line_3943,gm_entry_4997,10,ACE (Angiotensin Converting Enzime),U/L,Serum : <52.0 U/L CSF: <8.1 U/L,numeric,False,False,
gm_line_3946,gm_entry_3728,10,BILIRUBIN,,,text,True,True,bil
gm_line_3947,gm_entry_3728,1,BILIRUBIN (Total),mg/dL,upto 1.0 mg/dl,numeric,False,False,bil
gm_line_3948,gm_entry_3728,2,BILIRUBIN (Direct),mg/dL,Adult: upto 0.3 mg/dL Neonatal: upto 1.0 mg/dL,numeric,False,False,bil
gm_line_3949,gm_entry_3728,3,BILIRUBIN(Indirect),mg/dL,Adult: upto 0.8 mg/dL Neonatal: upto 12.0 mg/dL,numeric,False,False,bil
gm_line_2979,gm_entry_3732,10,S.Albumin,g/dl,3.8 -5.1 g/dl,numeric,False,False,
gm_line_2910,gm_entry_1533,1,URIC ACID,mg/dl,Men (3.4 -7.0) mg/dl Female (2.4 - 5.7) mg/dl,numeric,False,False,
