test_name,department,rate_imported,all_legacy_rates
CT Scan of Chest,CT Scan,6000,id 1530 = 5400 | id 3296 = 6000
Digital X-RAY of Skull & Mandible AP View,Radiolgy & Imaging,1500,id 2492 = 400 | id 4331 = 1500
Digital X-RAY of Spinal Column B/V,Radiolgy & Imaging,2000,id 2491 = 1400 | id 4330 = 2000
Digital X-RAY of Sternum AP & Lateral View,Radiolgy & Imaging,1000,id 2490 = 800 | id 4329 = 1000
Digital X-RAY of Sternum Lateral View,Radiolgy & Imaging,500,id 2488 = 400 | id 4327 = 500
Digital X-RAY of Sternum Oblique View,Radiolgy & Imaging,500,id 2486 = 400 | id 4325 = 500
Digital X-RAY of Sternum Oblique View & lateral View,Radiolgy & Imaging,1000,id 2487 = 800 | id 4326 = 1000
Digital X-RAY of Styloid process B/V,Radiolgy & Imaging,1000,id 2485 = 800 | id 4324 = 1000
Digital X-RAY of skull Townes View,Radiolgy & Imaging,500,id 2494 = 400 | id 4332 = 500
Digital X-Ray of Bone Age (Child),Radiolgy & Imaging,1000,id 2684 = 800 | id 4521 = 1000
Digital X-Ray of Bone age ( Adult Clavicle & Pelvis),Radiolgy & Imaging,1000,id 2683 = 800 | id 4520 = 1000
Digital X-Ray of Both Knee Joint AP View,Radiolgy & Imaging,500,id 2521 = 400 | id 4359 = 500
Digital X-Ray of Cervical spine Lateral View,Radiolgy & Imaging,500,id 2528 = 400 | id 4366 = 500
Digital X-Ray of Chest Apical view,Radiolgy & Imaging,500,id 2530 = 400 | id 4368 = 500
Digital X-Ray of Chest Inspiratory & Expiratory PA view,Radiolgy & Imaging,1000,id 2707 = 800 | id 4544 = 1000
Digital X-Ray of Chest PA & left lateral view,Radiolgy & Imaging,1000,id 2709 = 800 | id 4546 = 1000
Digital X-Ray of Chest for Rib Left Side (Oblique View),Radiolgy & Imaging,500,id 2531 = 400 | id 4369 = 500
Digital X-Ray of I. V. U.,Radiolgy & Imaging,2200,id 2866 = 2000 | id 4703 = 2200
Digital X-Ray of I. V. U. with late film,Radiolgy & Imaging,2500,id 2893 = 3000 | id 4730 = 2500
Digital X-Ray of Left Heel (Calcaneum) Axial & Lateral View,Radiolgy & Imaging,600,id 2564 = 400 | id 4402 = 600
Digital X-Ray of Left Wrist Joint PA & Lateral View,Radiolgy & Imaging,600,id 2573 = 400 | id 4411 = 600
Digital X-Ray of Left hip joint Lateral View,Radiolgy & Imaging,600,id 2566 = 400 | id 4404 = 600
Digital X-Ray of Lt. Knee Joint AP & Lat. View ( Standing Position),Radiolgy & Imaging,600,id 2745 = 800 | id 4582 = 600
Digital X-Ray of Lt. Middle Finger AP & Lateral View,Radiolgy & Imaging,600,id 2579 = 400 | id 4417 = 600
Digital X-Ray of Pelvis with both hip joint AP view (Child),Radiolgy & Imaging,500,id 2605 = 400 | id 4443 = 500
Digital X-Ray of Plain Abdomen Erect & Supine View,Radiolgy & Imaging,1000,id 2765 = 800 | id 4602 = 1000
"Digital X-Ray of Right Elbow joint AP, Lat. & oblique view",Radiolgy & Imaging,1000,id 2611 = 400 | id 4449 = 1000
Digital X-Ray of Right hip joint Lateral View,Radiolgy & Imaging,500,id 2620 = 400 | id 4458 = 500
Digital X-Ray of Right thumb (B/V),Radiolgy & Imaging,500,id 2625 = 400 | id 4463 = 500
Digital X-Ray of Skull base of the skull,Radiolgy & Imaging,500,id 2646 = 400 | id 4484 = 500
Digital X-Ray of Skull for Sinuses (PNS O/M View),Radiolgy & Imaging,500,id 2650 = 400 | id 4487 = 500
"Digital X-Ray of Sternum AP, Lat & Oblique View",Radiolgy & Imaging,1500,id 2489 = 1000 | id 2834 = 1200 | id 4328 = 1500 | id 4671 = 1500
PORTABLE X-RAY CXR AP & OBLIQUE,Radiolgy & Imaging,1200,id 2471 = 1000 | id 4310 = 1000 | id 4672 = 1200
PORTABLE X-RAY FEMUR AP & LATERAL,Radiolgy & Imaging,800,id 2469 = 1000 | id 4308 = 1000 | id 4640 = 800
PORTABLE X-RAY L/S SPINE AP & LATERAL,Radiolgy & Imaging,1200,id 2468 = 1000 | id 4307 = 1000 | id 4673 = 1200
PORTABLE X-RAY SKULL AP & LATERAL,Radiolgy & Imaging,1200,id 2465 = 1000 | id 4304 = 1000 | id 4674 = 1200
X-Ray -Hand B/V,Radiolgy & Imaging,400,id 2498 = 200 | id 4336 = 400
X-Ray Lumbo Sacral Spine B/V,Radiolgy & Imaging,1000,id 2907 = 600 | id 4744 = 1000
X-Ray Lumbo sacral,Radiolgy & Imaging,1000,id 2497 = 600 | id 4335 = 1000
