Legacy item -> new catalogue item
======================================================================================================================

LEGACY NAME                                                RATE    NEW ITEM                               ACTION
----------------------------------------------------------------------------------------------------------------------
2 Hours ABF                                                0       Blood Sugar 2 Hours ABF                duplicate
24 hrs urinary total protein                               750     24 Hours Urinary Total Protein         renamed
2Hrs ABF(Strip)                                            100     2 Hours ABF (Glucometer Strip)         renamed
75 gm Glucose                                              300     75g Glucose (Oral Load)                moved to Consumables
ACH Receptor Antibody                                      10090   ACh Receptor Antibody                  renamed
ACTH                                                       2200    ACTH                                   moved to Hormone
ADA                                                        2000    ADA (Adenosine Deaminase)              kept
Admission Charge                                           1000    Admission Charge                       kept
Admission Fee (Outside)                                    1500    Admission Fee (Outside Referral)       renamed
AFB                                                        600     AFB (Acid Fast Bacilli) Staining       renamed
AFP                                                        1200    AFP (Alpha Feto Protein)               kept
ALP Phosphatase                                            500     Alkaline Phosphatase (ALP)             renamed
ALT (SGPT)                                                 300     ALT (SGPT)                             kept
Ambulance Service Fee                                      0       Ambulance Service Fee                  kept
AMH                                                        3000    AMH (Anti-Mullerian Hormone)           renamed
Ammonia                                                    1400    Serum Ammonia                          renamed
Amphetamine                                                1400    Amphetamine (Urine Screen)             renamed
ANA                                                        1200    ANA (Anti Nuclear Antibody)            kept
Anesthesia Doctor Free                                     0       Anaesthesia Doctor Fee                 misspelling of Fee
Anesthesiologist Fee                                       0       Anaesthesiologist Fee                  renamed
Anti - Thyroid Ab Test                                     2600    Anti-Thyroid Antibody Panel            renamed
Anti HAV                                                   1200    Anti-HAV (Total)                       renamed
Anti Hbs                                                   1500    Anti-HBs (Antibody to HBsAg)           renamed
Anti HCV                                                   1200    Anti-HCV                               renamed
Anti HEV                                                   1200    Anti-HEV (Total)                       renamed
Anti HIV                                                   2000    Anti-HIV (ELISA)                       renamed
Anti HSV-1 IgG & IgM                                       2800    Anti HSV-1 IgG & IgM                   kept
Anti SS-A Antibody                                         4000    Anti SS-A (Ro) Antibody                moved to Immunology
Anti SS-B Antibody                                         4000    Anti SS-B (La) Antibody                moved to Immunology
Anti- HBV                                                  1300    Anti-HBs (Antibody to HBsAg)           duplicate of Anti-HBs
Anti-Cardiolipin AB                                        4000    Anti-Cardiolipin Antibody              moved to Immunology
ANTI-CCP                                                   2200    Anti-CCP                               renamed
ANTI-DS DNA                                                1600    Anti-dsDNA                             renamed
ANTI-HAV IGM                                               1200    Anti-HAV IgM                           renamed
ANTI-HBC TOTAL                                             1200    Anti-HBc Total                         renamed
ANTI-HBE TOTAL                                             1200    Anti-HBe Total                         renamed
ANTI-HEV IGM                                               1200    Anti-HEV IgM                           renamed
